Line no. 	 Token no. 		 Token 		 Lexeme
     83		     346		 Identifier	      ch
     83		     347		 Identifier	       n
     83		     348		 Special symbol	       )
     85		     349		 Special symbol	       {
     86		     350		 Identifier	       l
     86		     351		 Operator	       +
     86		     352		 Special symbol	       ;
     87		     353		 Special symbol	       }
     88		     354		 Special symbol	       }
     90		     355		 Identifier	  fclose
     90		     356		 Identifier	   input
     90		     357		 Special symbol	       ;
     91		     358		 Identifier	  fclose
     91		     359		 Identifier	  output
     91		     360		 Special symbol	       ;
     92		     361		 Identifier	  return
     92		     362		 Digit		       0
     92		     363		 Special symbol	       ;
     94		     364		 Special symbol	       }
